id_autore,nome,cognome,nazionalita,numero_libri
25,Alessandro,De Luca,Statunitense,12
8,Aurora,Gallo,Italiana,6
15,Federico,Bruno,Tedesca,6
1,Aurora,Mancini,Spagnola,5
5,Alessandro,Costa,Francese,5
3,Elena,Mancini,Tedesca,4
6,Giulia,Ricci,Statunitense,4
9,Riccardo,Greco,Italiana,4
11,Giorgia,Moretti,Britannica,4
14,Camilla,Gallo,Tedesca,4
16,Chiara,Lombardi,Britannica,4
18,Aurora,Rossi,Francese,4
24,Camilla,Verdi,Statunitense,4
2,Francesca,Colombo,Statunitense,3
13,Alessandro,Conti,Statunitense,3
21,Anna,Bruno,Spagnola,3
23,Alessandro,Romano,Italiana,3
4,Francesca,Esposito,Statunitense,2
10,Matteo,Gallo,Statunitense,2
19,Riccardo,Barbieri,Tedesca,2
20,Simone,Ricci,Spagnola,2
22,Elena,Verdi,Britannica,2
